Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,'10742585819251,value,en,,,"<p style=""text-align: center;"">Dieser aussergew&ouml;hnliche Mantel ist unsere Interpretation einer Bomber Jacke. <br />Wir kombinieren sie mit einer Weste aus sch&ouml;nster Lammwolle.&nbsp;<br />Kann von innen mit einer Kordel in der Taille gerafft werden.<br />Pattentaschen vorn &amp; Echtmetall Rei&szlig;verschluss.&nbsp;</p><p style=""text-align: center;"">Farbe: Schwarz&nbsp;</p><p style=""text-align: center;"">Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10742589587571,value,en,,,"<p style=""text-align: center;"">Diese aussergew&ouml;hnliche Jacke ist unsere Interpretation einer Bomber. <br />Wir kombinieren sie mit einer Weste aus sch&ouml;nster Lammwolle.&nbsp;<br />Kann von innen mit einer Kordel in der Taille gerafft werden.<br />Pattentaschen vorn.<br />Echtmetall Rei&szlig;verschluss. &nbsp;</p><p style=""text-align: center;"">Farbe: Schwarz&nbsp;</p><p style=""text-align: center;"">Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10742739665011,value,en,,,"<p style=""text-align: center;"">Lambswool Mantel<br />Dieser Klassiker ist extra lang und hat einen geraden Schnitt.&nbsp;<br />Geschoren und verwobene Lammwolle, kein Leder.<br />Hohe Schlitze an der Seitennaht - mit Druckkn&ouml;pfen verschlie&szlig;bar.<br />Klassische Hemden Kragenform.<br />Echtmetall Rei&szlig;verschluss.&nbsp;<br />Seitliche Eingrifftaschen. &nbsp;</p><p style=""text-align: center;"">Farbe: Beige&nbsp;</p><p style=""text-align: center;""><br />Wir lieben Tiere, f&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10745249857651,value,en,,,"<p style=""text-align: center;"">Lambswool Mantel<br />Unsere Interpretation des Klassikers mit einer klaren und eleganten Linie.<br />Geschoren und verwobene Lammwolle kombiniert mit feinster Wolle.&nbsp;<br />Hohe Schlitze an der Seitennaht - mit Druckkn&ouml;pfen verschlie&szlig;bar.<br />Klassische Hemden Kragenform.<br />Echtmetall Rei&szlig;verschluss.&nbsp;<br />Seitliche Eingrifftaschen.</p><p style=""text-align: center;"">Farbe: Schwarz</p><p style=""text-align: center;""><br />Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10745249890419,value,en,,,"<p style=""text-align: center;"">100 % Wolle<br />Bonding: 98 % Wolle, 2 % Elasthan<br />Echtmetall Rei&szlig;verschluss</p>",
METAFIELD,'10745249923187,value,en,,,"<p style=""text-align: center;"">Schmal geschnitten&nbsp;<br />F&auml;llt der Gr&ouml;&szlig;e entsprechend aus&nbsp;</p>",
METAFIELD,'10745249955955,value,en,,,"<p style=""text-align: center;"">Bitte professionell reinigen lassen</p>",
METAFIELD,'10745249988723,value,en,,,Description,
METAFIELD,'10745250021491,value,en,,,#c7c2b3,
METAFIELD,'10745250054259,value,en,,,lambswool-coat-beige,
METAFIELD,'10745250087027,value,en,,,"<p style=""text-align: center;"">100 % Wool<br />Bonding: 98 % Wool, 2 % Elasthan<br />real metal zipper</p>",
METAFIELD,'10745250119795,value,en,,,Material,
METAFIELD,'10745250152563,value,en,,,"<p style=""text-align: center;"">fitted&nbsp;<br />true to size</p>",
METAFIELD,'10745250185331,value,en,,,Fit,
METAFIELD,'10745250218099,value,en,,,"<p style=""text-align: center;"">Dry clean only</p>",
METAFIELD,'10745250250867,value,en,,,Care,
METAFIELD,'10745254871155,value,en,,,#bf4106,
METAFIELD,'10745254903923,value,en,,,lambswool-coat-cinnamon,
METAFIELD,'10745255821427,value,en,,,#000000,
METAFIELD,'10745255854195,value,en,,,lambswool-coat-black,
METAFIELD,'10745256509555,value,en,,,#000000,
METAFIELD,'10745256542323,value,en,,,lambswool-coat-black,
METAFIELD,'10745896697971,value,en,,,"<p style=""text-align: center;"">Alter Hollywood Glamour bekommt ein modernes Update mit diesem flauschig weichem Mantel. Aus feinster Lammwolle in Kombination mit flauschig weichem Kunstfell gefertigt.&nbsp; Bademantel Silhouette. Schalkragen. <br />Herausnehmbare G&uuml;rtel, der eine sch&ouml;ne Taillierung gibt.<br />Eingriffstaschen vorne.</p><p style=""text-align: center;"">Farbe: Beige/Grau&nbsp;</p><p style=""text-align: center;"">Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder. &nbsp;</p>",
METAFIELD,'10745984843891,value,en,,,"<p style=""text-align: center;"">Der Fassbender Parka&nbsp;<br />Die Weste ist aus feinster italienischer Baumwolle in Kombination mit geschorener Lammwolle gefertigt. <br />Sie ist herauskn&ouml;pfbar und kann auch alleine getragen werden, genau wie die Jacke.&nbsp;<br />Das &auml;rmellose Design f&auml;llt l&auml;ssig &uuml;ber die H&uuml;fte und hat einen hohen Kapuzenkragen.<br />Weste: Pattentaschen vorn.<br />Jacke: Vertikale Eingriffstasche vorn.</p><p style=""text-align: center;"">Farbe: Oliv&nbsp;</p><p style=""text-align: center;""><br />Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10747733868659,value,en,,,"<p style=""text-align: center;"">Unser Pea Coat<br />Ein Material Mix aus geschorener Lamm- und Schurwolle in einer klassischen Bomber Silhouette.<br />Asymmetrisches Design.<br />Eingriffstaschen vorne.&nbsp;<br />Verschluss mit Echtmetall Druckkn&ouml;pfen.&nbsp;<br />Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10747807432819,value,en,,,"<p style=""text-align: center;"">Unser Pea Coat<br />Ein Material Mix aus geschorener Lamm- und Schurwolle in einer klassischen Bomber Silhouette.<br />Asymmetrisches Design.<br />Eingriffstaschen vorne.&nbsp;<br />Verschluss mit Echtmetall Druckkn&ouml;pfen.&nbsp;</p><p style=""text-align: center;"">Farbe: Schwarz</p><p style=""text-align: center;""><br />Wir lieben Tiere. F&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p>",
METAFIELD,'10748012134515,value,en,,,"<p style=""text-align: center;"">Aus reiner Lammwolle gefertigt, bietet dieser extra breite aber leichte Schal optimalen Schutz an kalten Wintertagen.&nbsp;Ob zur abendlicher Garderobe als Stola oder auch tags&uuml;ber verleiht er jedem Outfit einen extravaganten Look. Wir lieben Tiere, f&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle - kein Leder.&nbsp;</p><p style=""text-align: center;"">Farbe: Schwarz&nbsp;</p>",
METAFIELD,'10748043690099,value,en,,,"<p style=""text-align: center;"">Aus reiner Lammwolle gefertigt, bietet dieser extra breite aber leichte Schal optimalen Schutz an kalten Wintertagen.&nbsp;Ob zur abendlicher Garderobe als Stola, oder auch tags&uuml;ber verleiht er jedem Outfit einen extravaganten Look. Wir lieben Tiere, f&uuml;r die Herstellung unserer Lammwoll Produkte verwenden wir ausschlie&szlig;lich geschorene Wolle, kein Leder.&nbsp;</p><p style=""text-align: center;"">Farbe: Zimt&nbsp;</p>",
METAFIELD,'10759455015027,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/MyFassbendercoat-burgundy-1569593649741.png,
METAFIELD,'10759543259251,value,en,,,magazine,
METAFIELD,'10759547519091,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbender-lookbook-fw1912-1569597523854.jpg,
METAFIELD,'10759547551859,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbender-lookbook-fw191-1569597675110.jpg,
METAFIELD,'10759554170995,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbender-lookbook-fw192-1569597675116.jpg,
METAFIELD,'10759554367603,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbender-lookbook-fw199-1569597675127.jpg,
METAFIELD,'10759557578867,value,en,,,https://cdn.shopify.com/s/files/1/0075/8903/6147/t/4/assets/fassbender-lookbook-fw198-1569597750964.jpg,
METAFIELD,'10765478494323,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765478953075,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765478985843,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765479084147,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765479182451,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765479313523,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765480198259,value,en,,,Fassbender Trenchcoat Beige,
METAFIELD,'10765527318643,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765527449715,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765527548019,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765527646323,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765527744627,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765527842931,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765528301683,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765528399987,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765528432755,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765528596595,value,en,,,Fassbender Trechcoat Navy,
METAFIELD,'10765532594291,value,en,,,Fassbender Hybrid Mantel Schwarz,
METAFIELD,'10765532692595,value,en,,,Fassbender Hybrid Mantel Schwarz,
METAFIELD,'10765532790899,value,en,,,Fassbender Hybrid Mantel Schwarz,
METAFIELD,'10765533053043,value,en,,,Fassbender Hybrid Mantel Schwarz,
METAFIELD,'10765537869939,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538001011,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538230387,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538361459,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538459763,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538558067,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765538623603,value,en,,,Fassbender Hybrid Jacke Schwarz,
METAFIELD,'10765542785139,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765543276659,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765543735411,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765543833715,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765543932019,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765544063091,value,en,,,Fassbender Lammfellmantel Beige,
METAFIELD,'10765550747763,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765550846067,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765550944371,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765551042675,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765551108211,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765555171443,value,en,,,Fassbender Lammfell Mantel Schwarz,
METAFIELD,'10765558743155,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765558775923,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765558808691,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765558841459,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765558874227,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765560250483,value,en,,,Fassbender Lammfellmantel Tobacco,
METAFIELD,'10765564248179,value,en,,,Fassbender Lammfell Schal Black,
METAFIELD,'10765564444787,value,en,,,Fassbender Lammfell Schal Black,
METAFIELD,'10765564739699,value,en,,,Fassbender Lammfell Schal Black,
METAFIELD,'10765567688819,value,en,,,Fassbender Lammfell Schal Tobacco,
METAFIELD,'10765567918195,value,en,,,Fassbender Lammfell Schal Tobacco,
METAFIELD,'10765568606323,value,en,,,Fassbender Lammfell Schal Tobacco,
METAFIELD,'10765576470643,value,en,,,Fassbender Coat Oversize Schwarz,
METAFIELD,'10765576634483,value,en,,,Fassbender Coat Oversize Schwarz,
METAFIELD,'10765576732787,value,en,,,Fassbender Coat Oversize Schwarz,
METAFIELD,'10765580501107,value,en,,,Fassbender Coat Oversize Beige,
METAFIELD,'10765580632179,value,en,,,Fassbender Coat Oversize Beige,
METAFIELD,'10765580763251,value,en,,,Fassbender Coat Oversize Beige,
METAFIELD,'10765580861555,value,en,,,Fassbender Coat Oversize Beige,
METAFIELD,'10765594034291,value,en,,,Fassbender Coat Oversize Beige,
METAFIELD,'10765600424051,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765600456819,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765600620659,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765600784499,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765601046643,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765606715507,value,en,,,Fassbender Parka Tobacco,
METAFIELD,'10765611827315,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612318835,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612417139,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612646515,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612744819,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612843123,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765612974195,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765613006963,value,en,,,Fassbender Parka Olive,
METAFIELD,'10765618643059,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765618741363,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765618872435,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765618905203,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765619069043,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765619200115,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10765626409075,value,en,,,Fassbender Alpaca Coat Beige Navy,
METAFIELD,'10767660417139,value,en,,,Kundenservice,
METAFIELD,'10767660449907,value,en,,,"<p><strong>Kostenloser Versand &amp; R&uuml;ckversand in EU-L&auml;nder!</strong></p><p><strong>Kostenloser Versand weltweit!</strong><br /><strong>Die Kosten der R&uuml;cksendung liegen in Ihrer Verantwortung.</strong></p><p><strong>Zahlung</strong></p><p>Wir akzeptieren die folgenden Zahlungen:</p><ul><li>Credit Card: Visa, Maestro, Mastercard, American Express</li><li>Apple Pay (Express Checkout)</li><li>PayPal</li><li>Sofort &Uuml;berweisung</li><li>Klarna (Sp&auml;ter bezahlen)</li></ul><p><strong>Versand</strong></p><p>Ihre Bestellung wird sowohl im Inland als auch international mit DHL geliefert. <br />Sobald Sie einen Kauf get&auml;tigt haben, werden wir eine Auftragsbest&auml;tigung ausstellen und Ihre Bestellung so schnell wie m&ouml;glich versenden. Sie erhalten eine Versandbest&auml;tigung und die Trackingnummer Ihres Pakets per E-Mail. <br />Die Lieferzeit in Deutschland betr&auml;gt 2-3 Werktage, f&uuml;r den internationalen Versand planen Sie bitte mindestens 3-5 Werktage ein. <br />Bitte beachten Sie, dass bei Lieferungen au&szlig;erhalb der EU zus&auml;tzliche Kosten anfallen k&ouml;nnen, wie z.B. Einfuhrz&ouml;lle und Steuern, und dass Sie f&uuml;r diese Kosten oder Geb&uuml;hren, die von den Zollbeh&ouml;rden des Ziellandes erhoben werden, verantwortlich sind.</p><p><strong>Umtausch und R&uuml;ckgabe</strong></p><p>Die Zufriedenheit unserer Kunden hat f&uuml;r uns oberste Priorit&auml;t, und wir hoffen, dass Ihnen jeder Kauf gef&auml;llt. <br />Wenn Sie jedoch Ihre Bestellung aus irgendeinem Grund umtauschen oder zur&uuml;ckgeben m&ouml;chten, k&ouml;nnen Sie dies innerhalb von 30 Tagen nach Erhalt Ihrer Bestellung tun.</p><p>Bitte beachten Sie:<br />Um f&uuml;r eine R&uuml;ckgabe in Frage zu kommen, m&uuml;ssen die Artikel ungetragen, ungewaschen, unbenutzt und in ihrem Originalzustand sein, wobei die Fassbender-Kleideranh&auml;nger noch intakt sein m&uuml;ssen. Wir pr&uuml;fen und fotografieren jeden Artikel sorgf&auml;ltig, bevor wir ihn versenden, und bewahren ihn als Beleg auf. Artikel, die sich nicht im Originalzustand befinden oder die mehr als 30 Tage nach Erhalt des Artikels zur&uuml;ckgesendet werden, k&ouml;nnen nicht angenommen werden. Zu Ihrem eigenen Schutz empfehlen wir Ihnen daher, Ihr Paket &uuml;ber einen zuverl&auml;ssigen Zustelldienst zu versenden, der Sie f&uuml;r den Wert des Pakets versichert.<br />Wir berechnen keine Versandkosten und innerhalb der EU ist der R&uuml;ckversand kostenlos. Die Versandkosten k&ouml;nnen jedoch nur erstattet werden, wenn die Artikel fehlerfrei sind. Wir empfehlen allen unseren Kunden, die Pflege- und Waschanweisungen f&uuml;r jedes Kleidungsst&uuml;ck genau zu beachten. Wir k&ouml;nnen keine fehlerhaften R&uuml;cksendungen akzeptieren, wenn die Pflegehinweise nicht beachtet wurden.</p><p>Bitte beachten Sie:<br />Wenn Sie nur einen Teil Ihrer Bestellung umtauschen oder zur&uuml;ckgeben m&ouml;chten, kontaktieren Sie uns bitte per E-Mail an customercare@myfassbender.com, bevor Sie Ihr Paket abschicken, und befolgen Sie unsere Anweisungen.</p><p><strong>R&uuml;ckerstattung</strong></p><p>Sobald wir Ihren R&uuml;ckgabeantrag bearbeitet und Ihr Paket erhalten haben, werden wir Ihnen die R&uuml;ckerstattung &uuml;ber Ihre urspr&uuml;ngliche Zahlungsmethode ausstellen, vorausgesetzt, der zur&uuml;ckgegebene Artikel wird genehmigt. Bitte rechnen Sie mit mindestens 10 Arbeitstagen, um Ihre R&uuml;ckerstattung zu erhalten.</p><p><strong>Versp&auml;tete oder fehlende R&uuml;ckerstattung</strong></p><p>Wenn Sie Ihre R&uuml;ckerstattung nach mindestens 10 Arbeitstagen noch nicht erhalten haben, wenden Sie sich bitte an Ihre Bank/Kreditkartengesellschaft, da die Bearbeitung der R&uuml;ckerstattung je nach den Richtlinien Ihres Kartenausstellers l&auml;nger dauern kann. Wenn Sie Ihre R&uuml;ckerstattung immer noch nicht erhalten haben, kontaktieren Sie uns bitte &uuml;ber customercare@myfassbender.com.</p>",
METAFIELD,'10770621300851,value,en,,,5598,
METAFIELD,'10770621562995,value,en,,,5598,
METAFIELD,'10770621890675,value,en,,,5598,
METAFIELD,'10770622775411,value,en,,,5598,
METAFIELD,'10770622873715,value,en,,,5598,
METAFIELD,'10770623037555,value,en,,,5598,
METAFIELD,'10770623135859,value,en,,,5598,
METAFIELD,'10770623234163,value,en,,,5598,
METAFIELD,'10770623332467,value,en,,,5598,
METAFIELD,'10770623463539,value,en,,,5598,
METAFIELD,'10770623692915,value,en,,,5598,
METAFIELD,'10770624086131,value,en,,,5598,
METAFIELD,'10770624348275,value,en,,,5598,
METAFIELD,'10770624446579,value,en,,,5598,
METAFIELD,'10770624675955,value,en,,,5598,
METAFIELD,'10770624839795,value,en,,,5598,
METAFIELD,'10770625036403,value,en,,,5598,
METAFIELD,'10770625134707,value,en,,,5598,
METAFIELD,'10770627788915,value,en,,,5598,
METAFIELD,'10770627887219,value,en,,,5598,
METAFIELD,'10770628116595,value,en,,,5598,
METAFIELD,'10770628214899,value,en,,,5598,
METAFIELD,'10770628477043,value,en,,,5598,
METAFIELD,'10770628771955,value,en,,,5598,
METAFIELD,'10770629296243,value,en,,,5598,
METAFIELD,'10770629492851,value,en,,,5598,
METAFIELD,'10770629689459,value,en,,,5598,
METAFIELD,'10770629853299,value,en,,,5598,
METAFIELD,'10770630017139,value,en,,,5598,
METAFIELD,'10770630115443,value,en,,,5598,
METAFIELD,'10781605527667,value,en,,,"<p><em>Form. Funktion. Fassbender. </em></p><p><em>Intro<br /></em></p><p class=""Textbody"" style=""margin-bottom: 5.65pt;""><span class=""Absatz-Standardschriftart1""><em>Fassbender ist der Inbegriff von Eleganz und St&auml;rke. Sie ist eine Frau, die immer in Bewegung ist und Familie, Freunde und Arbeit souver&auml;n unter einen Hut bringt. Sie ist voller Lebensfreude, intelligent und stilvoll, immer mit einem Sinn hanseatischen Understatements. Und sie sorgt sich aus ganzem Herzen um die Menschen und die Umwelt um sie herum.</em></span></p><p class=""Textbody"" style=""margin-bottom: 5.65pt;"">&nbsp;</p><p><em>About<br /></em></p><p>Fassbender ist ein Hamburger Design-Label, das die Eleganz anspruchsvoller Schneiderkunst mit h&ouml;chster Funktionalit&auml;t und Belastbarkeit verbindet. Ein Fassbender-St&uuml;ck ist ein Begleiter, mit dem Frau sich stilsicher durch den st&uuml;rmischen Morgenspaziergang bewegt und auch abends auf dem Cocktail-Dinner gl&auml;nzt.</p><p>Fassbender wurde von 2017 von Modeindustrie-Expertin Christina Fassbender und ihrem Bruder Sebastian Steinhoff gegr&uuml;ndet und wird gemeinsam mit der Unterst&uuml;tzung von Kreativ-Direktor Matthias Louwen gef&uuml;hrt. Als Modehaus, das von Freunden und Familienmitgliedern geleitet wird, ist Fassbender durch eine starke Verbundenheit zu &Auml;sthetik, Qualit&auml;t und Verantwortung gepr&auml;gt.</p><p>Fassbender glaubt an die Verbundenheit von Mensch und Umwelt und arbeitet an einer Kreislaufwirtschaft, die die Natur und das Leben in ihr respektieren. Jede Saison sucht Fassbender nach den neusten Materialinnovationen, die von zertifizierten Produzenten unter h&ouml;chsten ethischen Standards f&uuml;r alle Beteiligten kreiert werden. So beziehen kommen Naturfasern wie Wolle und Alpaka von tierfreundlichen Farmen, und die Ahimsa-Seide wird gewonnen ohne lebende Seidenraupen zu verletzen. Die veganen Lederstoffe werden aus organischen Materialen gemacht und der Anteil recycelter Stoffe kontinuierlich gesteigert. Die gesamte Kollektion wird in unter verantwortungsbewussten Produktionsbedingungen f&uuml;r alle Beteiligten in Portugal und Belgien hergestellt.</p><p>Um die M&ouml;glichkeiten f&uuml;r verantwortungsvolle Mode zu zeigen, wurde 2021 <em>Fassbender Second Life </em>lanciert, der Service f&uuml;r personalisierte, aus dem Bestand vorheriger Kollektionen ma&szlig;gefertigte Lieblingsst&uuml;cke. In diesem Winter pr&auml;sentiert Fassbender die erste Classic Denim Kollektion, die im Gegensatz zur konventionellen Denim-Herstellung auf einem einzigartigen, non-toxischen und nachhaltigen F&auml;rbe-Verfahren basiert. Um nur das zu nutzen, was die Natur bereith&auml;lt, setzt Fassbender f&uuml;r die f&uuml;nf klassischen Fits auf f&uuml;nf nat&uuml;rliche Farben.&nbsp;</p><p>Jedes einzelne Fassbender-St&uuml;ck ist aus menschlicher Kreativit&auml;t und mit Gef&uuml;hl entstanden. Die Entw&uuml;rfe werden in liebevoller Handarbeit an Schneiderpuppen gefertigt und gezeichnet, und durch akribische Schnitttechnik perfektioniert. Bevor es in die Produktion geht, testen Christina und ihren Freundinnen jedes Kleidungsst&uuml;ck pers&ouml;nlich, um sicherzustellen, dass es sich genauso sch&ouml;n anf&uuml;hlt wie aussieht.</p>",
METAFIELD,'12142393032819,value,en,,,"<p style=""text-align: center;"">Der &ldquo;Tent Coat&rdquo;</p><p style=""text-align: center;"">Unser &ldquo;Tent Coat&rdquo; ist aus 100% italienischer Wolle.</p><p style=""text-align: center;"">Die stark &uuml;berschnittene Form sowie der hohe, sch&uuml;tzende Kragen welcher mit Kordeln gerafft werden kann, geben dem Mantel eine einzigartige&nbsp;Silhouette&nbsp;</p><p style=""text-align: center;"">Der Stoff hat eine leichte Struktur und hat einen flie&szlig;enden, l&auml;ssigen Fall.&nbsp;</p><p style=""text-align: center;"">Die &Auml;rmel sind leicht ausgestellt und k&ouml;nnen mit Druckkn&ouml;pfen an der Manschette geschlossen werden.&nbsp;</p><p style=""text-align: center;"">Farbe: Offwhite</p><p style=""text-align: center;"">Alle Fassbender St&uuml;cke sind Hand gefertigte Unikate aus rein italienischen Materialien; gen&auml;ht in einer kleinen, familiengef&uuml;hrten polnischen &nbsp;Manufaktur.&nbsp;</p><p style=""text-align: center;"">&nbsp;</p>",
METAFIELD,'12142393065587,value,en,,,"<p style=""text-align: center;"">100 % Wolle<br />Echtmetall Rei&szlig;verschluss</p>",
METAFIELD,'12142393098355,value,en,,,"<p style=""text-align: center;"">&Uuml;bergro&szlig; geschnitten</p><p style=""text-align: center;"">L&auml;ssig lockerer Fall&nbsp;</p>",
METAFIELD,'12142393131123,value,en,,,"<p style=""text-align: center;"">Bitte professionell reinigen lassen</p>",
METAFIELD,'12142393163891,value,en,,,Description,
METAFIELD,'12142393196659,value,en,,,5598,
METAFIELD,'12142393360499,value,en,,,"<p style=""text-align: center;"">100 % wool<br />real metal zipper</p>",
METAFIELD,'12142393393267,value,en,,,Material,
METAFIELD,'12142393426035,value,en,,,"<p style=""text-align: center;"">Oversized shape&nbsp;<br />Fit: larger than usual size</p>",
METAFIELD,'12142393458803,value,en,,,Fit,
METAFIELD,'12142393491571,value,en,,,"<p style=""text-align: center;"">Dry clean only</p>",
METAFIELD,'12142393524339,value,en,,,Care,
METAFIELD,'12142669922419,value,en,,,"<p style=""text-align: center;"">Bedrucktes Seidenkleid</p><p style=""text-align: center;"">Das Fassbender Kleid ist aus 100% italienischer Seide, mit einen flie&szlig;end weichem Fall.&nbsp;</p><p style=""text-align: center;"">Die Silhouette ist extra gro&szlig; designt, kann mit einem G&uuml;rtel in der Taille f&uuml;r mehr oder weniger Volumen sehr feminin gebunden werden.</p><p style=""text-align: center;"">Die &Auml;rmel sind leicht verk&uuml;rzt und haben einen glockigen Abschluss.&nbsp;</p><p style=""text-align: center;"">Zwei gro&szlig;e, aufgesetzte Taschen komplimentieren den Look.</p><p style=""text-align: center;"">Farbe: Gelb/Gr&uuml;n bedruckt&nbsp;</p><p style=""text-align: center;"">Alle Fassbender St&uuml;cke sind handgefertigte Unikate aus italienischen Materialien. Von Hand gen&auml;ht in einer kleinen, familiengef&uuml;hrten polnischen Manufaktur.&nbsp;</p><p style=""text-align: center;"">&nbsp;</p><p style=""text-align: center;"">&nbsp;</p>",
METAFIELD,'12142669955187,value,en,,,"<p style=""text-align: center;"">100 % Seide</p>",
METAFIELD,'12142669987955,value,en,,,"<p style=""text-align: center;"">regul&auml;r geschnitten<br />l&auml;ssig lockerer Fall</p>",
METAFIELD,'12142670020723,value,en,,,"<p style=""text-align: center;"">Bitte professionell reinigen lassen</p>",
METAFIELD,'12142670053491,value,en,,,Description,
METAFIELD,'12142670086259,value,en,,,5598,
METAFIELD,'12142670119027,value,en,,,#cc0f08,
METAFIELD,'12142670151795,value,en,,,silk-dress-red-print,
METAFIELD,'12142670250099,value,en,,,"<p style=""text-align: center;"">100 % Silk</p>",
METAFIELD,'12142670282867,value,en,,,Material,
METAFIELD,'12142670315635,value,en,,,"<p style=""text-align: center;"">Regular fit <br />true to size</p>",
METAFIELD,'12142670348403,value,en,,,Fit,
METAFIELD,'12142670381171,value,en,,,"<p style=""text-align: center;"">Dry clean only</p>",
METAFIELD,'12142670413939,value,en,,,Care,
